=== YC IP Picker — Итоговый отчёт ===
Дата: 2026-03-22T16:16:38.637Z
Попыток: 500 из 500
Зоны: ru-central1-a, ru-central1-b, ru-central1-d, ru-central1-e
Результат: ❌ НЕ НАЙДЕН

--- Уникальные адреса (отклонённые) ---
IP                   Зона                Выдан  Откл.
93.77.165.113        ru-central1-e           1      1
213.165.218.41       ru-central1-b           1      1
158.160.164.196      ru-central1-d           1      1
93.77.162.239        ru-central1-e           1      1
213.165.212.77       ru-central1-b           1      1
158.160.201.177      ru-central1-d           1      1
93.77.160.225        ru-central1-e           1      1
89.169.152.216       ru-central1-a           1      1
213.165.216.183      ru-central1-b           1      1
158.160.239.215      ru-central1-d           1      1
93.77.163.45         ru-central1-e           1      1
93.77.187.30         ru-central1-a           1      1
213.165.215.137      ru-central1-b           1      1
158.160.235.70       ru-central1-d           1      1
93.77.163.206        ru-central1-e           1      1
158.160.45.152       ru-central1-a           1      1
158.160.236.130      ru-central1-d           1      1
93.77.165.119        ru-central1-e           1      1

--- Статистика по зонам ---
  ru-central1-a: 125 попыток, 107 уникальных IP
  ru-central1-b: 125 попыток, 106 уникальных IP
  ru-central1-d: 125 попыток, 113 уникальных IP
  ru-central1-e: 125 попыток, 117 уникальных IP
